,Domain,Sub Domain,Product Title,Product Link,Review Content,Image,Aspect_1,Label_1,Cause_1,Aspect_2,Label_2,Cause_2,Aspect_3,Label_3,Cause_3,Aspect_4,Label_4,Cause_4,Aspect_5,Label_5,Cause_5,Over All label,Summary
97,Mobile,Apple,Apple iPhone 13 (128GB) - Blue,https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=cm_cr_arp_d_product_top?ie=UTF8,"Best to buy on big billion days to get it for best price we bought 3 colour was good and iphone is all about brand (Apple) and it's camera (cinematic mode) now with improved battery, there is no point for hang in. IOS as they built with bionic chipset smooth and fast performance, go for it if your budget price is within 45-50K",https://m.media-amazon.com/images/I/71KwOVFBTnL._SY88.jpg,Camera,0,Best to buy on big billion days to get it for best price we bought 3 colour was good and iphone is all about brand (Apple) and it's camera (cinematic mode),Software,0,there is no point for hang in. IOS as they built with bionic chipset smooth and,Battery,0.0,"now with improved battery,",Performance,0.0,"fast performance,",Cost,0.0,go for it if your budget price is within 45-50K,0,"Final Summary Review: iPhone 13 and iPhone 14 Pro
 

 iPhone 13:
 The iPhone 13 receives widespread acclaim for its remarkable features, especially during festive sales. Customers praise the device for its sleek design, vibrant Midnight color, and impressive A15 Bionic chip performance. The camera system, battery life, and Super Retina XDR display contribute to a satisfying user experience. Some users note a few drawbacks, including a minor heating issue and the absence of a charger. Overall, the iPhone 13 is highly recommended for those entering the Apple ecosystem or looking for a premium smartphone.
 

 iPhone 14 Pro:
 The iPhone 14 Pro, an upgrade for many, is recognized for its incredible camera capabilities, A16 Bionic chip, and the innovative Dynamic Island. Users appreciate the phone's performance, immersive display with ProMotion technology, and impressive sound quality. However, there are reports of heating issues during usage and concerns about the battery life. While the device is commended for its premium build and fluid interface, some suggest waiting for the iPhone 15 or opting for the larger 14 Pro Max for better battery life and display size.
 

 In conclusion, both the iPhone 13 and iPhone 14 Pro offer a premium smartphone experience, with the choice depending on individual preferences, budget considerations, and the desire for the latest features. Prospective buyers are encouraged to explore various reviews and prioritize their needs before making a purchase decision."
98,Mobile,Apple,Apple iPhone 13 (128GB) - Blue,https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=cm_cr_arp_d_product_top?ie=UTF8,"I recently bought my first ever Apple iPhone 13 Midnight from the Great Indian Sale at 45k and I'm thrilled. It's slim, elegant, and the Midnight color is striking. After using for more than 7days it’s Performance with the A15 Bionic chip is outstanding, the camera captures amazing photos, and the Super Retina XDR display is a visual treat. It's 5G-ready, secure with Face ID, and arrives promptly from Aappario. If you want a top-tier smartphone that's stylish, this is it. If you want to buy an iPhone and for first time, then I prefer this for u!! 🥰🤩",https://m.media-amazon.com/images/I/71-SLODorFL._SY88.jpg,Cost,0,"I recently bought my first ever Apple iPhone 13 Midnight from the Great Indian Sale at 45k and I'm thrilled.It's slim, elegant, and the Midnight color is striking.",Performance,0,"After using for more than 7days it’s Performance with the A15 Bionic chip is outstanding,",Camera,0.0,"the camera captures amazing photos, and the Super Retina XDR display is a visual treat.",Security,0.0,"It's 5G-ready, secure with Face ID, and arrives promptly from Aappario.",Feedback,0.0,"If you want a top-tier smartphone that's stylish, this is it. If you want to buy an iPhone and for first time, then I prefer this for u!! 🥰🤩",0,
98,Mobile,Apple,Apple iPhone 13 (128GB) - Blue,https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=cm_cr_arp_d_product_top?ie=UTF8,"I recently bought my first ever Apple iPhone 13 Midnight from the Great Indian Sale at 45k and I'm thrilled. It's slim, elegant, and the Midnight color is striking. After using for more than 7days it’s Performance with the A15 Bionic chip is outstanding, the camera captures amazing photos, and the Super Retina XDR display is a visual treat. It's 5G-ready, secure with Face ID, and arrives promptly from Aappario. If you want a top-tier smartphone that's stylish, this is it. If you want to buy an iPhone and for first time, then I prefer this for u!! 🥰🤩",https://m.media-amazon.com/images/I/71B+CnBNjcL._SY88.jpg,Cost,0,"I recently bought my first ever Apple iPhone 13 Midnight from the Great Indian Sale at 45k and I'm thrilled.It's slim, elegant, and the Midnight color is striking.",Performance,0,"After using for more than 7days it’s Performance with the A15 Bionic chip is outstanding,",Camera,0.0,"the camera captures amazing photos, and the Super Retina XDR display is a visual treat.",Security,0.0,"It's 5G-ready, secure with Face ID, and arrives promptly from Aappario.",Feedback,0.0,"If you want a top-tier smartphone that's stylish, this is it. If you want to buy an iPhone and for first time, then I prefer this for u!! 🥰🤩",0,
98,Mobile,Apple,Apple iPhone 13 (128GB) - Blue,https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=cm_cr_arp_d_product_top?ie=UTF8,"I recently bought my first ever Apple iPhone 13 Midnight from the Great Indian Sale at 45k and I'm thrilled. It's slim, elegant, and the Midnight color is striking. After using for more than 7days it’s Performance with the A15 Bionic chip is outstanding, the camera captures amazing photos, and the Super Retina XDR display is a visual treat. It's 5G-ready, secure with Face ID, and arrives promptly from Aappario. If you want a top-tier smartphone that's stylish, this is it. If you want to buy an iPhone and for first time, then I prefer this for u!! 🥰🤩",https://m.media-amazon.com/images/I/71apSLyILaL._SY88.jpg,Cost,0,"I recently bought my first ever Apple iPhone 13 Midnight from the Great Indian Sale at 45k and I'm thrilled.It's slim, elegant, and the Midnight color is striking.",Performance,0,"After using for more than 7days it’s Performance with the A15 Bionic chip is outstanding,",Camera,0.0,"the camera captures amazing photos, and the Super Retina XDR display is a visual treat.",Security,0.0,"It's 5G-ready, secure with Face ID, and arrives promptly from Aappario.",Feedback,0.0,"If you want a top-tier smartphone that's stylish, this is it. If you want to buy an iPhone and for first time, then I prefer this for u!! 🥰🤩",0,
98,Mobile,Apple,Apple iPhone 13 (128GB) - Blue,https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=cm_cr_arp_d_product_top?ie=UTF8,"I recently bought my first ever Apple iPhone 13 Midnight from the Great Indian Sale at 45k and I'm thrilled. It's slim, elegant, and the Midnight color is striking. After using for more than 7days it’s Performance with the A15 Bionic chip is outstanding, the camera captures amazing photos, and the Super Retina XDR display is a visual treat. It's 5G-ready, secure with Face ID, and arrives promptly from Aappario. If you want a top-tier smartphone that's stylish, this is it. If you want to buy an iPhone and for first time, then I prefer this for u!! 🥰🤩",https://m.media-amazon.com/images/I/71hztdpKqCL._SY88.jpg,Cost,0,"I recently bought my first ever Apple iPhone 13 Midnight from the Great Indian Sale at 45k and I'm thrilled.It's slim, elegant, and the Midnight color is striking.",Performance,0,"After using for more than 7days it’s Performance with the A15 Bionic chip is outstanding,",Camera,0.0,"the camera captures amazing photos, and the Super Retina XDR display is a visual treat.",Security,0.0,"It's 5G-ready, secure with Face ID, and arrives promptly from Aappario.",Feedback,0.0,"If you want a top-tier smartphone that's stylish, this is it. If you want to buy an iPhone and for first time, then I prefer this for u!! 🥰🤩",0,
99,Mobile,Apple,Apple iPhone 13 (128GB) - Blue,https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=cm_cr_arp_d_product_top?ie=UTF8,Better for multitasking purposes worth of buying it,https://m.media-amazon.com/images/I/51LaxcDRphL._SY88.jpg,Product_Quality,0,Better for multitasking purposes worth of buying it,,,,,,,,,,,,,0,
100,Mobile,Apple,Apple iPhone 13 (128GB) - Blue,https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=cm_cr_arp_d_product_top?ie=UTF8,"I've been using the iPhone 13 for a month now, and I'm extremely satisfied with its performance. The A15 Bionic chip delivers lightning-fast speed, and the battery life is impressive, easily lasting me a full day. The camera system produces stunning photos and videos in various lighting conditions. The Super Retina XDR display is vibrant, and the 120Hz ProMotion makes scrolling and animations buttery smooth. Overall, it's a fantastic device with only a few minor drawbacks like the lack of a charger and a heating issue.",https://m.media-amazon.com/images/I/5192IarpcML._SY88.jpg,Performance,0,"I've been using the iPhone 13 for a month now, and I'm extremely satisfied with its performance. The A15 Bionic chip delivers lightning-fast speed,",Battery,0,"and the battery life is impressive, easily lasting me a full day.",Camera,0.0,"The camera system produces stunning photos and videos in various lighting conditions. The Super Retina XDR display is vibrant,",Battery,1.0,a few minor drawbacks like the lack of a charger and a heating issue.,Product_Quality,1.0,"and the 120Hz ProMotion makes scrolling and animations buttery smooth. Overall, it's a fantastic device with only",0,
100,Mobile,Apple,Apple iPhone 13 (128GB) - Blue,https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=cm_cr_arp_d_product_top?ie=UTF8,"I've been using the iPhone 13 for a month now, and I'm extremely satisfied with its performance. The A15 Bionic chip delivers lightning-fast speed, and the battery life is impressive, easily lasting me a full day. The camera system produces stunning photos and videos in various lighting conditions. The Super Retina XDR display is vibrant, and the 120Hz ProMotion makes scrolling and animations buttery smooth. Overall, it's a fantastic device with only a few minor drawbacks like the lack of a charger and a heating issue.",https://m.media-amazon.com/images/I/61p63fx5KeL._SY88.jpg,Performance,0,"I've been using the iPhone 13 for a month now, and I'm extremely satisfied with its performance. The A15 Bionic chip delivers lightning-fast speed,",Battery,0,"and the battery life is impressive, easily lasting me a full day.",Camera,0.0,"The camera system produces stunning photos and videos in various lighting conditions. The Super Retina XDR display is vibrant,",Battery,1.0,a few minor drawbacks like the lack of a charger and a heating issue.,Product_Quality,1.0,"and the 120Hz ProMotion makes scrolling and animations buttery smooth. Overall, it's a fantastic device with only",0,
100,Mobile,Apple,Apple iPhone 13 (128GB) - Blue,https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=cm_cr_arp_d_product_top?ie=UTF8,"I've been using the iPhone 13 for a month now, and I'm extremely satisfied with its performance. The A15 Bionic chip delivers lightning-fast speed, and the battery life is impressive, easily lasting me a full day. The camera system produces stunning photos and videos in various lighting conditions. The Super Retina XDR display is vibrant, and the 120Hz ProMotion makes scrolling and animations buttery smooth. Overall, it's a fantastic device with only a few minor drawbacks like the lack of a charger and a heating issue.",https://m.media-amazon.com/images/I/81FlJvZGqZL._SY88.jpg,Performance,0,"I've been using the iPhone 13 for a month now, and I'm extremely satisfied with its performance. The A15 Bionic chip delivers lightning-fast speed,",Battery,0,"and the battery life is impressive, easily lasting me a full day.",Camera,0.0,"The camera system produces stunning photos and videos in various lighting conditions. The Super Retina XDR display is vibrant,",Battery,1.0,a few minor drawbacks like the lack of a charger and a heating issue.,Product_Quality,1.0,"and the 120Hz ProMotion makes scrolling and animations buttery smooth. Overall, it's a fantastic device with only",0,
101,Mobile,Apple,Apple iPhone 13 (128GB) - Blue,https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=cm_cr_arp_d_product_top?ie=UTF8,"I got the good deal on Amazon great Indian Festival sale but price could be bit lower than the present deal price ..... As compare to flipkart , Amazon is bit expensive than flipkart.....But I am satisfied with my order . Everyone must buy specially Iphone 13 .... No need of explanation for this phone . Happy for this .... 👍✌️👌💙🤍",https://m.media-amazon.com/images/I/618Yp0lY05L._SY88.jpg,Feedback,0,"I got the good deal on Amazon great Indian Festival sale but price could be bit lower than the present deal price ..... As compare to flipkart , Amazon is bit expensive than flipkart.....But I am satisfied with my order . Everyone must buy specially Iphone 13 .... No need of explanation for this phone . Happy for this .... 👍✌️👌💙🤍",,,,,,,,,,,,,0,
101,Mobile,Apple,Apple iPhone 13 (128GB) - Blue,https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=cm_cr_arp_d_product_top?ie=UTF8,"I got the good deal on Amazon great Indian Festival sale but price could be bit lower than the present deal price ..... As compare to flipkart , Amazon is bit expensive than flipkart.....But I am satisfied with my order . Everyone must buy specially Iphone 13 .... No need of explanation for this phone . Happy for this .... 👍✌️👌💙🤍",https://m.media-amazon.com/images/I/71kSlv8LIcL._SY88.jpg,Feedback,0,"I got the good deal on Amazon great Indian Festival sale but price could be bit lower than the present deal price ..... As compare to flipkart , Amazon is bit expensive than flipkart.....But I am satisfied with my order . Everyone must buy specially Iphone 13 .... No need of explanation for this phone . Happy for this .... 👍✌️👌💙🤍",,,,,,,,,,,,,0,
101,Mobile,Apple,Apple iPhone 13 (128GB) - Blue,https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=cm_cr_arp_d_product_top?ie=UTF8,"I got the good deal on Amazon great Indian Festival sale but price could be bit lower than the present deal price ..... As compare to flipkart , Amazon is bit expensive than flipkart.....But I am satisfied with my order . Everyone must buy specially Iphone 13 .... No need of explanation for this phone . Happy for this .... 👍✌️👌💙🤍",https://m.media-amazon.com/images/I/71snYBhB-ML._SY88.jpg,Feedback,0,"I got the good deal on Amazon great Indian Festival sale but price could be bit lower than the present deal price ..... As compare to flipkart , Amazon is bit expensive than flipkart.....But I am satisfied with my order . Everyone must buy specially Iphone 13 .... No need of explanation for this phone . Happy for this .... 👍✌️👌💙🤍",,,,,,,,,,,,,0,
101,Mobile,Apple,Apple iPhone 13 (128GB) - Blue,https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=cm_cr_arp_d_product_top?ie=UTF8,"I got the good deal on Amazon great Indian Festival sale but price could be bit lower than the present deal price ..... As compare to flipkart , Amazon is bit expensive than flipkart.....But I am satisfied with my order . Everyone must buy specially Iphone 13 .... No need of explanation for this phone . Happy for this .... 👍✌️👌💙🤍",https://m.media-amazon.com/images/I/71t9l3luCtL._SY88.jpg,Feedback,0,"I got the good deal on Amazon great Indian Festival sale but price could be bit lower than the present deal price ..... As compare to flipkart , Amazon is bit expensive than flipkart.....But I am satisfied with my order . Everyone must buy specially Iphone 13 .... No need of explanation for this phone . Happy for this .... 👍✌️👌💙🤍",,,,,,,,,,,,,0,
102,Mobile,Apple,Apple iPhone 13 (128GB) - Blue,https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=cm_cr_arp_d_product_top?ie=UTF8,"It is amazing me everyday , so many practical and professional features are there , Awsome display , 20% brightness is enough for indoor activities, The smoothness of the UI is next level experience, the fluid like experience will make you praise it every now and then , The feel in hand is very premium, feels true to its value The battery backup is phenomenal, for normal usage , it can cover upto 1-1.5 day easily on 100% charge , more than that maybe , depends on the casual usage The camera is out of the world , the colour accuracy is on point, it completely true to natural, you will totally get the colour as I saw when I was taking it , The skin tone is very accurate for selfies , Compact size makes it slide into the palm of your hand. Sound quality is very natural, very loud , vocals are clear , very pleasing to ears One word its awsome, I have bought it for 46000 during sale , every penny of it is truly valued",https://m.media-amazon.com/images/I/812mcrX65CL._SY88.jpg,Cost,0,"I have bought it for 46000 during sale , every penny of it is truly valued",Software,0,"It is amazing me everyday , so many practical and professional features are there ,Awsome display , 20% brightness is enough for indoor activities, The smoothness of the UI is next level experience, the fluid like experience will make you praise it every now and then ,",Battery,0.0,"The feel in hand is very premium, feels true to its value The battery backup is phenomenal, for normal usage , it can cover upto 1-1.5 day easily on 100% charge , more than that maybe , depends on the casual usage",Camera,0.0,"The camera is out of the world , the colour accuracy is on point, it completely true to natural, you will totally get the colour as I saw when I was taking it , The skin tone is very accurate for selfies , Compact size makes it slide into the palm of your hand.",Speaker,0.0,"Sound quality is very natural, very loud , vocals are clear , very pleasing to ears One word its awsome,",0,
102,Mobile,Apple,Apple iPhone 13 (128GB) - Blue,https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=cm_cr_arp_d_product_top?ie=UTF8,"It is amazing me everyday , so many practical and professional features are there , Awsome display , 20% brightness is enough for indoor activities, The smoothness of the UI is next level experience, the fluid like experience will make you praise it every now and then , The feel in hand is very premium, feels true to its value The battery backup is phenomenal, for normal usage , it can cover upto 1-1.5 day easily on 100% charge , more than that maybe , depends on the casual usage The camera is out of the world , the colour accuracy is on point, it completely true to natural, you will totally get the colour as I saw when I was taking it , The skin tone is very accurate for selfies , Compact size makes it slide into the palm of your hand. Sound quality is very natural, very loud , vocals are clear , very pleasing to ears One word its awsome, I have bought it for 46000 during sale , every penny of it is truly valued",https://m.media-amazon.com/images/I/81BwTzLdK6L._SY88.jpg,Cost,0,"I have bought it for 46000 during sale , every penny of it is truly valued",Software,0,"It is amazing me everyday , so many practical and professional features are there ,Awsome display , 20% brightness is enough for indoor activities, The smoothness of the UI is next level experience, the fluid like experience will make you praise it every now and then ,",Battery,0.0,"The feel in hand is very premium, feels true to its value The battery backup is phenomenal, for normal usage , it can cover upto 1-1.5 day easily on 100% charge , more than that maybe , depends on the casual usage",Camera,0.0,"The camera is out of the world , the colour accuracy is on point, it completely true to natural, you will totally get the colour as I saw when I was taking it , The skin tone is very accurate for selfies , Compact size makes it slide into the palm of your hand.",Speaker,0.0,"Sound quality is very natural, very loud , vocals are clear , very pleasing to ears One word its awsome,",0,
102,Mobile,Apple,Apple iPhone 13 (128GB) - Blue,https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=cm_cr_arp_d_product_top?ie=UTF8,"It is amazing me everyday , so many practical and professional features are there , Awsome display , 20% brightness is enough for indoor activities, The smoothness of the UI is next level experience, the fluid like experience will make you praise it every now and then , The feel in hand is very premium, feels true to its value The battery backup is phenomenal, for normal usage , it can cover upto 1-1.5 day easily on 100% charge , more than that maybe , depends on the casual usage The camera is out of the world , the colour accuracy is on point, it completely true to natural, you will totally get the colour as I saw when I was taking it , The skin tone is very accurate for selfies , Compact size makes it slide into the palm of your hand. Sound quality is very natural, very loud , vocals are clear , very pleasing to ears One word its awsome, I have bought it for 46000 during sale , every penny of it is truly valued",https://m.media-amazon.com/images/I/81TilFXbDEL._SY88.jpg,Cost,0,"I have bought it for 46000 during sale , every penny of it is truly valued",Software,0,"It is amazing me everyday , so many practical and professional features are there ,Awsome display , 20% brightness is enough for indoor activities, The smoothness of the UI is next level experience, the fluid like experience will make you praise it every now and then ,",Battery,0.0,"The feel in hand is very premium, feels true to its value The battery backup is phenomenal, for normal usage , it can cover upto 1-1.5 day easily on 100% charge , more than that maybe , depends on the casual usage",Camera,0.0,"The camera is out of the world , the colour accuracy is on point, it completely true to natural, you will totally get the colour as I saw when I was taking it , The skin tone is very accurate for selfies , Compact size makes it slide into the palm of your hand.",Speaker,0.0,"Sound quality is very natural, very loud , vocals are clear , very pleasing to ears One word its awsome,",0,
102,Mobile,Apple,Apple iPhone 13 (128GB) - Blue,https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=cm_cr_arp_d_product_top?ie=UTF8,"It is amazing me everyday , so many practical and professional features are there , Awsome display , 20% brightness is enough for indoor activities, The smoothness of the UI is next level experience, the fluid like experience will make you praise it every now and then , The feel in hand is very premium, feels true to its value The battery backup is phenomenal, for normal usage , it can cover upto 1-1.5 day easily on 100% charge , more than that maybe , depends on the casual usage The camera is out of the world , the colour accuracy is on point, it completely true to natural, you will totally get the colour as I saw when I was taking it , The skin tone is very accurate for selfies , Compact size makes it slide into the palm of your hand. Sound quality is very natural, very loud , vocals are clear , very pleasing to ears One word its awsome, I have bought it for 46000 during sale , every penny of it is truly valued",https://m.media-amazon.com/images/I/81nw+js2s2L._SY88.jpg,Cost,0,"I have bought it for 46000 during sale , every penny of it is truly valued",Software,0,"It is amazing me everyday , so many practical and professional features are there ,Awsome display , 20% brightness is enough for indoor activities, The smoothness of the UI is next level experience, the fluid like experience will make you praise it every now and then ,",Battery,0.0,"The feel in hand is very premium, feels true to its value The battery backup is phenomenal, for normal usage , it can cover upto 1-1.5 day easily on 100% charge , more than that maybe , depends on the casual usage",Camera,0.0,"The camera is out of the world , the colour accuracy is on point, it completely true to natural, you will totally get the colour as I saw when I was taking it , The skin tone is very accurate for selfies , Compact size makes it slide into the palm of your hand.",Speaker,0.0,"Sound quality is very natural, very loud , vocals are clear , very pleasing to ears One word its awsome,",0,
103,Mobile,,Apple iPhone 13 (128GB) - Blue,https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=cm_cr_arp_d_product_top?ie=UTF8,Although its a very smooth phone but i think the battery should be better but overall this is a killer phone in this sale price ❤️❤️,https://m.media-amazon.com/images/I/61MIsaCBWiL._SY88.jpg,Battery,1,but i think the battery should be better,Product_Quality,0,Although its a very smooth phone,Cost,0.0,but overall this is a killer phone in this sale price ❤️❤️,,,,,,,1,
103,Mobile,,Apple iPhone 13 (128GB) - Blue,https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=cm_cr_arp_d_product_top?ie=UTF8,Although its a very smooth phone but i think the battery should be better but overall this is a killer phone in this sale price ❤️❤️,https://m.media-amazon.com/images/I/71gwyYqh6TL._SY88.jpg,Battery,1,but i think the battery should be better,Product_Quality,0,Although its a very smooth phone,Cost,0.0,but overall this is a killer phone in this sale price ❤️❤️,,,,,,,1,
103,Mobile,,Apple iPhone 13 (128GB) - Blue,https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=cm_cr_arp_d_product_top?ie=UTF8,Although its a very smooth phone but i think the battery should be better but overall this is a killer phone in this sale price ❤️❤️,https://m.media-amazon.com/images/I/71nHmDJ5u4L._SY88.jpg,Battery,1,but i think the battery should be better,Product_Quality,0,Although its a very smooth phone,Cost,0.0,but overall this is a killer phone in this sale price ❤️❤️,,,,,,,1,
104,Mobile,Apple,Apple iPhone 13 (128GB) - Blue,https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=cm_cr_arp_d_product_top?ie=UTF8,"I was a Android user after several years I'm buying iphone , Was very sceptical of online ordering I mean the costly items but to my surprise everything went so smooth and very happy with the order. I got best offer and very cheap also got my fav colour red. all I want to say is if you want to get it this is the best time iphone 14 not worth the price if u have older phone jst go to iphone 13 or 15 next year. Amazon op",https://m.media-amazon.com/images/I/71q6SJTcEML._SY88.jpg,Performance,0,"I was a Android user after several years I'm buying iphone , Was very sceptical of online ordering I mean the costly items but to my surprise everything went so smooth and very happy with the order.",Cost,0,I got best offer and very cheap also got my fav colour red.,Feedback,0.0,all I want to say is if you want to get it this is the best time iphone 14 not worth the price if u have older phone jst go to iphone 13 or 15 next year. Amazon op,,,,,,,0,
104,Mobile,Apple,Apple iPhone 13 (128GB) - Blue,https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=cm_cr_arp_d_product_top?ie=UTF8,"I was a Android user after several years I'm buying iphone , Was very sceptical of online ordering I mean the costly items but to my surprise everything went so smooth and very happy with the order. I got best offer and very cheap also got my fav colour red. all I want to say is if you want to get it this is the best time iphone 14 not worth the price if u have older phone jst go to iphone 13 or 15 next year. Amazon op",https://m.media-amazon.com/images/I/71uDUF5Mr9L._SY88.jpg,Performance,0,"I was a Android user after several years I'm buying iphone , Was very sceptical of online ordering I mean the costly items but to my surprise everything went so smooth and very happy with the order.",Cost,0,I got best offer and very cheap also got my fav colour red.,Feedback,0.0,all I want to say is if you want to get it this is the best time iphone 14 not worth the price if u have older phone jst go to iphone 13 or 15 next year. Amazon op,,,,,,,0,
104,Mobile,Apple,Apple iPhone 13 (128GB) - Blue,https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=cm_cr_arp_d_product_top?ie=UTF8,"I was a Android user after several years I'm buying iphone , Was very sceptical of online ordering I mean the costly items but to my surprise everything went so smooth and very happy with the order. I got best offer and very cheap also got my fav colour red. all I want to say is if you want to get it this is the best time iphone 14 not worth the price if u have older phone jst go to iphone 13 or 15 next year. Amazon op",https://m.media-amazon.com/images/I/813fCb80tyL._SY88.jpg,Performance,0,"I was a Android user after several years I'm buying iphone , Was very sceptical of online ordering I mean the costly items but to my surprise everything went so smooth and very happy with the order.",Cost,0,I got best offer and very cheap also got my fav colour red.,Feedback,0.0,all I want to say is if you want to get it this is the best time iphone 14 not worth the price if u have older phone jst go to iphone 13 or 15 next year. Amazon op,,,,,,,0,
104,Mobile,Apple,Apple iPhone 13 (128GB) - Blue,https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=cm_cr_arp_d_product_top?ie=UTF8,"I was a Android user after several years I'm buying iphone , Was very sceptical of online ordering I mean the costly items but to my surprise everything went so smooth and very happy with the order. I got best offer and very cheap also got my fav colour red. all I want to say is if you want to get it this is the best time iphone 14 not worth the price if u have older phone jst go to iphone 13 or 15 next year. Amazon op",https://m.media-amazon.com/images/I/81En9xOXGbL._SY88.jpg,Performance,0,"I was a Android user after several years I'm buying iphone , Was very sceptical of online ordering I mean the costly items but to my surprise everything went so smooth and very happy with the order.",Cost,0,I got best offer and very cheap also got my fav colour red.,Feedback,0.0,all I want to say is if you want to get it this is the best time iphone 14 not worth the price if u have older phone jst go to iphone 13 or 15 next year. Amazon op,,,,,,,0,
105,Mobile,Apple,Apple iPhone 13 (128GB) - Blue,https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=cm_cr_arp_d_product_top?ie=UTF8,Great Product but battery get low early,https://m.media-amazon.com/images/I/51Y8GM0og+L._SY88.jpg,Battery,1,but battery get low early,Product_Quality,0,Great Product,,,,,,,,,,1,
105,Mobile,Apple,Apple iPhone 13 (128GB) - Blue,https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=cm_cr_arp_d_product_top?ie=UTF8,Great Product but battery get low early,https://m.media-amazon.com/images/I/61gklu953DL._SY88.jpg,Battery,1,but battery get low early,Product_Quality,0,Great Product,,,,,,,,,,1,
106,Mobile,Apple,Apple iPhone 13 (128GB) - Blue,https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=cm_cr_arp_d_product_top?ie=UTF8,Good product by,https://m.media-amazon.com/images/I/61nsjGZPCHL._SY88.jpg,Product_Quality,0,Good product by,,,,,,,,,,,,,0,
106,Mobile,Apple,Apple iPhone 13 (128GB) - Blue,https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=cm_cr_arp_d_product_top?ie=UTF8,Good product by,https://m.media-amazon.com/images/I/71kiAQZk4oL._SY88.jpg,Product_Quality,0,Good product by,,,,,,,,,,,,,0,
107,Mobile,Apple,Apple iPhone 13 (128GB) - Blue,https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=cm_cr_arp_d_product_top?ie=UTF8,"I upgrade from 12 mini to 13 and i can feel the difference between them. The bigger display, the optimisation, smoothness and also in camera. Playing BGMI is like cutting the butter. No frame drop no lag🔥. In case of gaming experience, it can beat any android flagship phone anytime. And the battery backup is also amazing. I played almost 2.5h and the battery drop is 44%. Optimisations in ios17 is very good. I brought this from amazon great india sale in 44k. I think its value for mone rather than purchasing any flagship android having 120hz display. ♥️",https://m.media-amazon.com/images/I/71mfT5kGXxL._SY88.jpg,Product_Quality,0,"I upgrade from 12 mini to 13 and i can feel the difference between them. The bigger display, the optimisation, smoothness and also in camera. Playing BGMI is like cutting the butter. No frame drop no lag🔥.",Performance,0,"In case of gaming experience, it can beat any android flagship phone anytime.",Battery,0.0,And the battery backup is also amazing. I played almost 2.5h and the battery drop is 44%.,Software,0.0,Optimisations in ios17 is very good,Cost,0.0,I brought this from amazon great india sale in 44k. I think its value for mone rather than purchasing any flagship android having 120hz display. ♥️,0,
